Note: 


Addr	Number	Disass
403aa1	1	mov rbp, qword ptr [rbx+0x68]
403aa5	1	test rbp, rbp
403aa8	1	jnz 0x403ab3
403ab3	1	mov rdi, qword ptr [rbp]
403ab7	1	test rdi, rdi
403aba	1	jz 0x403ac1
403abc	1	call 0x400ff0
403ac1	1	mov r12, qword ptr [rbp+0x8]
403ac5	1	mov rdi, rbp
403ac8	1	call 0x400ff0
403acd	1	test r12, r12
403ad0	1	jnz 0x403ab0
403ad2	1	mov rdi, rbx
403ad5	1	pop rbx
403ad6	1	pop rbp
403ad7	1	pop r12
403ad9	1	jmp 0x400ff0
403af0	1	push r12
403af2	1	xor esi, esi
403af4	1	mov r12, rdi
403af7	1	mov edx, 0x1a4
403afc	1	push rbp
403afd	1	push rbx
403afe	1	sub rsp, 0x90
403b05	1	call 0x4053e0
403b0a	1	mov rdx, rsp
403b0d	1	mov rsi, r12
403b10	1	mov edi, 0x1
403b15	1	mov ebp, eax
403b17	1	call 0x401180
403b1c	1	test eax, eax
403b1e	1	jnz 0x403c50
403b24	1	mov edi, 0x88
403b29	1	call 0x4053b0
403b2e	1	test al, 0x1
403b30	1	mov rbx, rax
403b33	1	mov rdi, rax
403b36	1	mov edx, 0x88
403b3b	1	jnz 0x403c80
403b41	1	test dil, 0x2
403b45	1	jnz 0x403c90
403b4b	1	test dil, 0x4
403b4f	1	jnz 0x403c68
403b55	1	mov ecx, edx
403b57	1	xor eax, eax
403b59	1	shr ecx, 0x3
403b5c	1	test dl, 0x4
403b5f	17	rep stosq qword ptr [rdi]
403b62	1	jnz 0x403be0
403b64	1	test dl, 0x2
403b67	1	jnz 0x403bc8
403b69	1	and edx, 0x1
403b6c	1	jnz 0x403bc0
403b6e	1	mov rdi, r12
403b71	1	call 0x4054d0
403b76	1	mov rsi, qword ptr [rsp+0x30]
403b7b	1	xor r9d, r9d
403b7e	1	xor edi, edi
403b80	1	mov r8d, ebp
403b83	1	mov ecx, 0x1
403b88	1	mov edx, 0x1
403b8d	1	mov qword ptr [rbx], rax
403b90	1	mov qword ptr [rbx+0x18], rsi
403b94	1	call 0x405410
403b99	1	mov rdi, rbx
403b9c	1	mov qword ptr [rbx+0x20], rax
403ba0	1	call 0x4032f0
403ba5	1	test eax, eax
403ba7	1	jz 0x403bf8
403ba9	1	mov edi, ebp
403bab	1	call 0x4010e0
403bb0	1	add rsp, 0x90
403bb7	1	mov rax, rbx
403bba	1	pop rbx
403bbb	1	pop rbp
403bbc	1	pop r12
403bbe	1	ret 
404f00	20	push rbx
404f01	20	mov rax, qword ptr [rdi]
404f04	20	test rax, rax
404f07	20	jz 0x404f20
404f09	19	mov rdx, qword ptr [rax]
404f0c	19	mov ebx, dword ptr [rax+0x8]
404f0f	19	mov qword ptr [rdi], rdx
404f12	19	mov rdi, rax
404f15	19	call 0x400ff0
404f1a	20	mov eax, ebx
404f1c	20	pop rbx
404f1d	20	ret 
404f20	1	mov ebx, 0xffffffff
404f25	1	jmp 0x404f1a
404f30	1	push r15
404f32	1	mov r15, rdi
404f35	1	push r14
404f37	1	mov r14, rdx
404f3a	1	push r13
404f3c	1	mov r13, rsi
404f3f	1	push r12
404f41	1	push rbp
404f42	1	push rbx
404f43	1	sub rsp, 0x48
404f47	1	mov rax, qword ptr [rdi]
404f4a	1	mov edi, 0x10
404f4f	1	mov qword ptr [rsp+0x38], 0x0
404f58	1	test rax, rax
